Crude Oil;73300
Orimulsion;77000
Natural Gas Liquids;64200
Motor Gasoline;69300
Aviation Gasoline;70000
Jet Gasoline;70000
Jet Kerosene;71500
Other Kerosene;71900
Shale Oil;73300
Gas/Diesel Oil;74100
Residual Fuel Oil;77400
Liquefied Petroleum Gases;63100
Ethane;61600
Naphtha;73300
Bitumen;80700
Lubricants;73300
Petroleum Coke;97500
Refinery Feedstocks;73300
Refinery Gas;57600
Paraffin Waxes;73300
White Spirit and SBP;73300
Other Petroleum Products;73300
Anthracite;98300
Coking Coal;94600
Other Bituminous Coal;94600
Sub-Bituminous Coal;96100
Lignite;101000
Oil Shale and Tar Sands;107000
Brown Coal Briquettes;97500
Patent Fuel;97500
Coke, Oven Coke and Lignite Coke;107000
Gas Coke;107000
Coal Tar;80700
Gas Works Gas;44400
Coke Oven Gas;44400
Blast Furnace Gas;260000
Oxygen Steel Furnace Gas;182000
Natural Gas;56100
Municipal Wastes (non-biomass fraction);91700
Industrial Wastes;143000
Waste Oils;73300
Peat;106000
Wood / Wood Waste;112000
Sulphite lyes (Black Liquor);95300
Other Primary Solid Biomass;100000
Charcoal;112000
Biogasoline;70800
Biodiesels;70800
Other Liquid Biofuels;79600
Landfill Gas;54600
Sludge Gas;54600
Other Biogas;54600 
Municipal Wastes (biomass fraction);100000